"common_name","num_observed","observed_on"
"Yellow Anemone",1,"2020-05-22"
"yellow archangel",1,"2020-05-22"
"yellow birch",1,"2020-05-22"
"yellow lady's slipper",1,"2020-05-22"
"yellow trout lily",9,"2020-05-22"
"yellow wakerobin",1,"2020-05-22"
"alder buckthorn",2,"2020-05-23"
"Allegheny blackberry",1,"2020-05-23"
"aloe vera",1,"2020-05-23"
"alternate-leaved dogwood",3,"2020-05-23"
"American beech",4,"2020-05-23"
"American black elderberry",1,"2020-05-23"
"American bladdernut",1,"2020-05-23"
"American cancer-root",1,"2020-05-23"
"American elm",2,"2020-05-23"
"American fly-honeysuckle",3,"2020-05-23"
"American golden saxifrage",1,"2020-05-23"
"American hophornbeam",1,"2020-05-23"
"American jumpseed",1,"2020-05-23"
"American plantain",1,"2020-05-23"
"American pokeweed",2,"2020-05-23"
"American Water-pennywort",1,"2020-05-23"
"American white waterlily",1,"2020-05-23"
"American witch-hazel",3,"2020-05-23"
"American yellowrocket",2,"2020-05-23"
"Amur honeysuckle",1,"2020-05-23"
"anise hyssop",1,"2020-05-23"
"aniseroot",1,"2020-05-23"
"Annual Honesty",3,"2020-05-23"
"Annual Meadow-grass",2,"2020-05-23"
"Appalachian barren-strawberry",1,"2020-05-23"
"apple",5,"2020-05-23"
"arrowleaf violet",1,"2020-05-23"
"Asian Bleeding-heart",2,"2020-05-23"
"autumn olive",5,"2020-05-23"
"balloon flower",1,"2020-05-23"
"balsam fir",2,"2020-05-23"
"balsam poplar",1,"2020-05-23"
"Bartram Shadbush",1,"2020-05-23"
"basswood",1,"2020-05-23"
"Beechdrops",1,"2020-05-23"
"Bell's honeysuckle",2,"2020-05-23"
"bird's foot violet",2,"2020-05-23"
"bird's-eye speedwell",1,"2020-05-23"
"Biting Stonecrop",1,"2020-05-23"
"bitter wintercress",5,"2020-05-23"
"bitternut hickory",1,"2020-05-23"
"bittersweet nightshade",1,"2020-05-23"
"black cherry",7,"2020-05-23"
"black chokeberry",2,"2020-05-23"
"black medick",1,"2020-05-23"
"black raspberry",1,"2020-05-23"
"Blackhaw",1,"2020-05-23"
"bloodroot",8,"2020-05-23"
"blue cohosh",3,"2020-05-23"
"blue phlox",6,"2020-05-23"
"blue toadflax",1,"2020-05-23"
"bluebell",2,"2020-05-23"
"bog cranberry",1,"2020-05-23"
"Bogbean",1,"2020-05-23"
"Borage",1,"2020-05-23"
"Border Forsythia",4,"2020-05-23"
"bottlebrush buckeye",1,"2020-05-23"
"boxelder maple",7,"2020-05-23"
"bristly buttercup",2,"2020-05-23"
"brittle bladderfern",1,"2020-05-23"
"broad beech fern",1,"2020-05-23"
"Broad-leaved Violet",1,"2020-05-23"
"broadleaf enchanter's nightshade",1,"2020-05-23"
"broom moss",1,"2020-05-23"
"bulbous buttercup",1,"2020-05-23"
"bulbous cress",2,"2020-05-23"
"Butterweed",1,"2020-05-23"
"California torreya",1,"2020-05-23"
"Canada goldenrod",2,"2020-05-23"
"Canada mayflower",7,"2020-05-23"
"Canadian wild ginger",2,"2020-05-23"
"Canadian wood betony",1,"2020-05-23"
"Canadian yew",1,"2020-05-23"
"Carolina spring-beauty",3,"2020-05-23"
"Carolina Vetch",1,"2020-05-23"
"carpet bugle",4,"2020-05-23"
"catchweed bedstraw",4,"2020-05-23"
"celandine poppy",3,"2020-05-23"
"cheatgrass",1,"2020-05-23"
"chili pepper",1,"2020-05-23"
"China Rose",1,"2020-05-23"
"Chinese wisteria",1,"2020-05-23"
"Chives",1,"2020-05-23"
"chokecherry",10,"2020-05-23"
"Christmas fern",2,"2020-05-23"
"cinnamon fern",3,"2020-05-23"
"common blue violet",5,"2020-05-23"
"common bracken",2,"2020-05-23"
"common buckthorn",1,"2020-05-23"
"common chickweed",2,"2020-05-23"
"common cinquefoil",3,"2020-05-23"
"common columbine",1,"2020-05-23"
"common daisy",2,"2020-05-23"
"common dog-violet",1,"2020-05-23"
"common groundsel",1,"2020-05-23"
"common hackberry",1,"2020-05-23"
"common haircap moss",1,"2020-05-23"
"common ivy",1,"2020-05-23"
"common jewelweed",2,"2020-05-23"
"common lilac",3,"2020-05-23"
"common motherwort",2,"2020-05-23"
"common mugwort",1,"2020-05-23"
"common pawpaw",3,"2020-05-23"
"common peony",2,"2020-05-23"
"common serviceberry",6,"2020-05-23"
"common star-of-Bethlehem",12,"2020-05-23"
"common stork's-bill",1,"2020-05-23"
"common thyme",1,"2020-05-23"
"common yarrow",2,"2020-05-23"
"corn speedwell",1,"2020-05-23"
"cream violet",3,"2020-05-23"
"creeping thistle",2,"2020-05-23"
"Cucumber-tree",1,"2020-05-23"
"cut-leaved toothwort",3,"2020-05-23"
"cypress spurge",1,"2020-05-23"
"daisy fleabane",2,"2020-05-23"
"dame's rocket",7,"2020-05-23"
"downy arrowwood",1,"2020-05-23"
"downy yellow violet",5,"2020-05-23"
"Dutchman's breeches",2,"2020-05-23"
"dwarf cinquefoil",1,"2020-05-23"
"dwarf ginseng",1,"2020-05-23"
"dwarf mallow",2,"2020-05-23"
"dwarf raspberry",1,"2020-05-23"
"Dwarf Serviceberry",1,"2020-05-23"
"early meadow-rue",1,"2020-05-23"
"eastern black walnut",2,"2020-05-23"
"eastern bluestar",1,"2020-05-23"
"eastern cottonwood",2,"2020-05-23"
"eastern hemlock",1,"2020-05-23"
"eastern leatherwood",1,"2020-05-23"
"eastern prickly pear",2,"2020-05-23"
"eastern redbud",3,"2020-05-23"
"eastern redcedar",1,"2020-05-23"
"eastern shooting star",1,"2020-05-23"
"eastern skunk cabbage",4,"2020-05-23"
"eastern white pine",4,"2020-05-23"
"ebony spleenwort",1,"2020-05-23"
"Elephant's-ears",1,"2020-05-23"
"European gooseberry",1,"2020-05-23"
"European lily of the valley",11,"2020-05-23"
"European raspberry",1,"2020-05-23"
"false rue anemone",2,"2020-05-23"
"false Solomon's seal",4,"2020-05-23"
"fan clubmoss",1,"2020-05-23"
"Fern-leaf Yarrow",1,"2020-05-23"
"fibrous-rooted sedge",1,"2020-05-23"
"field chickweed",1,"2020-05-23"
"field forget-me-not",1,"2020-05-23"
"field horsetail",3,"2020-05-23"
"field mustard",1,"2020-05-23"
"field penny-cress",1,"2020-05-23"
"field peppergrass",2,"2020-05-23"
"fire cherry",1,"2020-05-23"
"flowering dogwood",6,"2020-05-23"
"fragrant bedstraw",1,"2020-05-23"
"Freeman's Maple",1,"2020-05-23"
"fringed polygala",6,"2020-05-23"
"Garden angelica",1,"2020-05-23"
"garden pansy",1,"2020-05-23"
"garden parsley",1,"2020-05-23"
"garden strawberry",1,"2020-05-23"
"Garden Tulip",1,"2020-05-23"
"garlic mustard",10,"2020-05-23"
"Germander Speedwell",1,"2020-05-23"
"giant goldenrod",2,"2020-05-23"
"giant ragweed",1,"2020-05-23"
"ginkgo",1,"2020-05-23"
"Glaucous Honeysuckle",1,"2020-05-23"
"Globeflower",1,"2020-05-23"
"Gold Chink",1,"2020-05-23"
"golden Alexander",1,"2020-05-23"
"golden ragwort",3,"2020-05-23"
"Goutweed",1,"2020-05-23"
"graceful sedge",1,"2020-05-23"
"great mullein",2,"2020-05-23"
"great waterleaf",1,"2020-05-23"
"greater burdock",2,"2020-05-23"
"Greater celandine",6,"2020-05-23"
"green ash",1,"2020-05-23"
"grey alder",1,"2020-05-23"
"Grey Field-speedwell",1,"2020-05-23"
"Grey Willow",1,"2020-05-23"
"ground-ivy",6,"2020-05-23"
"guelder-rose",1,"2020-05-23"
"hairy bittercress",2,"2020-05-23"
"hairy puccoon",1,"2020-05-23"
"hairy sweet cicely",1,"2020-05-23"
"harbinger of spring",1,"2020-05-23"
"heartleaf foamflower",1,"2020-05-23"
"heath speedwell",1,"2020-05-23"
"herb Robert",2,"2020-05-23"
"Holy Basil",1,"2020-05-23"
"honey locust",2,"2020-05-23"
"Hooked buttercup",3,"2020-05-23"
"Horse-chestnut",2,"2020-05-23"
"horseshoe geranium",1,"2020-05-23"
"Hybrid bluebell",1,"2020-05-23"
"Iceplant",1,"2020-05-23"
"Indian Cucumber Root",1,"2020-05-23"
"Indian Shot",1,"2020-05-23"
"interior sandbar willow",1,"2020-05-23"
"intermediate wood fern",1,"2020-05-23"
"interrupted fern",2,"2020-05-23"
"Jack-in-the-pulpit",11,"2020-05-23"
"Japanese barberry",2,"2020-05-23"
"Japanese Cherry",1,"2020-05-23"
"Japanese Kerria",1,"2020-05-23"
"Japanese knotweed",3,"2020-05-23"
"Japanese maple",1,"2020-05-23"
"Japanese Quince",1,"2020-05-23"
"Japanese snowball",1,"2020-05-23"
"Japanese Spiraea",1,"2020-05-23"
"jetbead",3,"2020-05-23"
"Knotted Hedgeparsley",2,"2020-05-23"
"Korean Spice Viburnum",1,"2020-05-23"
"lady fern",2,"2020-05-23"
"large white trillium",24,"2020-05-23"
"largeflower bellwort",3,"2020-05-23"
"leafy spurge",1,"2020-05-23"
"leatherleaf",2,"2020-05-23"
"lemon balm",1,"2020-05-23"
"Lesser Meadow-rue",1,"2020-05-23"
"lesser periwinkle",10,"2020-05-23"
"licorice bedstraw",1,"2020-05-23"
"longbeak sedge",1,"2020-05-23"
"lowbush blueberry",2,"2020-05-23"
"Lucky Bamboo",1,"2020-05-23"
"lyre-leaved rock cress",1,"2020-05-23"
"male fern",2,"2020-05-23"
"mapleleaf viburnum",1,"2020-05-23"
"Marguerite daisy",1,"2020-05-23"
"marsh blue violet",2,"2020-05-23"
"marsh marigold",6,"2020-05-23"
"mayapple",12,"2020-05-23"
"Mistassini Primrose",2,"2020-05-23"
"mock strawberry",2,"2020-05-23"
"moonseed",1,"2020-05-23"
"Morrow's honeysuckle",6,"2020-05-23"
"moss phlox",3,"2020-05-23"
"mouse-ear chickweed",3,"2020-05-23"
"mouse-eared hawkweed",1,"2020-05-23"
"multiflora rose",1,"2020-05-23"
"nannyberry",1,"2020-05-23"
"narrow-leaved cattail",1,"2020-05-23"
"Nasturtium",1,"2020-05-23"
"Needle Spikerush",1,"2020-05-23"
"New Guinea Impatiens",1,"2020-05-23"
"New York fern",2,"2020-05-23"
"nodding trillium",2,"2020-05-23"
"Northern highbush blueberry",1,"2020-05-23"
"northern lady fern",1,"2020-05-23"
"northern maidenhair fern",1,"2020-05-23"
"northern oak fern",1,"2020-05-23"
"northern red oak",1,"2020-05-23"
"northern redcurrant",1,"2020-05-23"
"northern spicebush",3,"2020-05-23"
"northern whitecedar",2,"2020-05-23"
"Norway maple",1,"2020-05-23"
"Oriental bittersweet",1,"2020-05-23"
"Oriental Poppy",1,"2020-05-23"
"ostrich fern",2,"2020-05-23"
"Painted-cup Paintbrush",1,"2020-05-23"
"paper birch",1,"2020-05-23"
"partridgeberry",4,"2020-05-23"
"Peppermint",1,"2020-05-23"
"Perennial Cornflower",1,"2020-05-23"
"Philadelphia fleabane",1,"2020-05-23"
"pignut hickory",5,"2020-05-23"
"pin oak",1,"2020-05-23"
"pineapple-weed",1,"2020-05-23"
"pink lady's slipper",1,"2020-05-23"
"Plum",1,"2020-05-23"
"Poet's Narcissus",1,"2020-05-23"
"poison hemlock",1,"2020-05-23"
"poison ivy",10,"2020-05-23"
"prickly gooseberry",2,"2020-05-23"
"prickly sowthistle",1,"2020-05-23"
"Purple Crab",1,"2020-05-23"
"Purple heart",1,"2020-05-23"
"purple pitcher plant",2,"2020-05-23"
"Red amaranth",1,"2020-05-23"
"red chokeberry",1,"2020-05-23"
"red columbine",4,"2020-05-23"
"red deadnettle",1,"2020-05-23"
"Red Duckweed",1,"2020-05-23"
"Red horse-chestnut",2,"2020-05-23"
"red maple",3,"2020-05-23"
"red osier dogwood",1,"2020-05-23"
"red spruce",1,"2020-05-23"
"red-berried elder",2,"2020-05-23"
"Reflexed Stonecrop",1,"2020-05-23"
"Rhubarb",1,"2020-05-23"
"ribwort plantain",1,"2020-05-23"
"Richardson's geranium",1,"2020-05-23"
"river birch",1,"2020-05-23"
"riverbank grape",1,"2020-05-23"
"rosy sedge",1,"2020-05-23"
"roundleaf shadbush",1,"2020-05-23"
"royal fern",1,"2020-05-23"
"rue anemone",1,"2020-05-23"
"Running Strawberry-bush",2,"2020-05-23"
"Russian olive",1,"2020-05-23"
"sassafras",2,"2020-05-23"
"Scots pine",1,"2020-05-23"
"Sea Thrift",1,"2020-05-23"
"sensitive fern",6,"2020-05-23"
"shagbark hickory",3,"2020-05-23"
"sharp-lobed hepatica",1,"2020-05-23"
"Sheep's sorrel",2,"2020-05-23"
"Shellbark Hickory",1,"2020-05-23"
"showy mountain-ash",1,"2020-05-23"
"shrubby St. John's-wort",1,"2020-05-23"
"Siberian bugloss",3,"2020-05-23"
"Slender speedwell",1,"2020-05-23"
"slender yellow woodsorrel",5,"2020-05-23"
"small white violet",1,"2020-05-23"
"small-flowered blue-eyed mary",2,"2020-05-23"
"small-flowered buttercup",1,"2020-05-23"
"Small-flowered Crane's-bill",1,"2020-05-23"
"smooth shadbush",1,"2020-05-23"
"smooth Solomon's seal",1,"2020-05-23"
"Solomon's-seal",1,"2020-05-23"
"Sour Cherry",1,"2020-05-23"
"spinulose wood fern",4,"2020-05-23"
"spotted knapweed",1,"2020-05-23"
"spotted lady's thumb",1,"2020-05-23"
"spreading chervil",1,"2020-05-23"
"Sprenger's Asparagus",1,"2020-05-23"
"Spring Avens",1,"2020-05-23"
"squirrel corn",2,"2020-05-23"
"staghorn sumac",1,"2020-05-23"
"star moss",1,"2020-05-23"
"starflower",5,"2020-05-23"
"Sticky mouse-ear chickweed",1,"2020-05-23"
"stinging nettle",1,"2020-05-23"
"Stringy Stonecrop",1,"2020-05-23"
"sundial lupine",2,"2020-05-23"
"swamp loosestrife",2,"2020-05-23"
"Swamp Meadow-grass",1,"2020-05-23"
"swamp white oak",1,"2020-05-23"
"Sweet basil",1,"2020-05-23"
"sweet crabapple",3,"2020-05-23"
"sweet potato",1,"2020-05-23"
"Sweet violet",1,"2020-05-23"
"sweet white violet",2,"2020-05-23"
"Sweet Woodruff",5,"2020-05-23"
"Taiwan Cherry",1,"2020-05-23"
"tall hairy agrimony",1,"2020-05-23"
"tamarack",4,"2020-05-23"
"Tatarian honeysuckle",4,"2020-05-23"
"thicket creeper",1,"2020-05-23"
"thimbleberry",1,"2020-05-23"
"threeleaf goldthread",1,"2020-05-23"
"thyme-leaved speedwell",5,"2020-05-23"
"trailing arbutus",4,"2020-05-23"
"tsutsusi azalea",1,"2020-05-23"
"tulip tree",1,"2020-05-23"
"Two-leaved Toothwort",3,"2020-05-23"
"twoleaf miterwort",1,"2020-05-23"
"Van Houtte's Spiraea",1,"2020-05-23"
"variegated horsetail",1,"2020-05-23"
"velvetleaf blueberry",2,"2020-05-23"
"Virginia creeper",7,"2020-05-23"
"Virginia spring beauty",1,"2020-05-23"
"Virginia strawberry",1,"2020-05-23"
"Virginia waterleaf",1,"2020-05-23"
"Wallflower",2,"2020-05-23"
"water forget-me-not",1,"2020-05-23"
"water hemlock",1,"2020-05-23"
"water horsetail",1,"2020-05-23"
"watercress",1,"2020-05-23"
"Wayfaring-tree",1,"2020-05-23"
"western poison ivy",1,"2020-05-23"
"white ash",1,"2020-05-23"
"white avens",1,"2020-05-23"
"white baneberry",7,"2020-05-23"
"White Bear Sedge",2,"2020-05-23"
"white campion",1,"2020-05-23"
"white clover",2,"2020-05-23"
"white rattlesnakeroot",1,"2020-05-23"
"white snakeroot",2,"2020-05-23"
"white spirea",2,"2020-05-23"
"white spruce",1,"2020-05-23"
"wide leek",2,"2020-05-23"
"wild carrot",1,"2020-05-23"
"wild geranium",18,"2020-05-23"
"Wild Pansy",1,"2020-05-23"
"wild sarsaparilla",1,"2020-05-23"
"Wild strawberry",5,"2020-05-23"
"winged euonymus",2,"2020-05-23"
"wood anemone",5,"2020-05-23"
"Wood Dock",1,"2020-05-23"
"Wood Forget-me-not",3,"2020-05-23"
"wood horsetail",2,"2020-05-23"
"Wood Millet",1,"2020-05-23"
"wood nettle",2,"2020-05-23"
"wood spurge",1,"2020-05-23"
"Woodsy Thyme-moss",1,"2020-05-23"
"yellow birch",2,"2020-05-23"
"Yellow Daylily",1,"2020-05-23"
"yellow lady's slipper",2,"2020-05-23"
"yellow trout lily",9,"2020-05-23"
"Alderleaf Buckthorn",1,"2020-05-24"
"Alsike clover",1,"2020-05-24"
"alternate-leaved dogwood",1,"2020-05-24"
"American beech",3,"2020-05-24"
"American bladdernut",1,"2020-05-24"
"American cancer-root",1,"2020-05-24"
"American elm",1,"2020-05-24"
"American gromwell",1,"2020-05-24"
"American hophornbeam",1,"2020-05-24"
"American jumpseed",1,"2020-05-24"
"American plantain",1,"2020-05-24"
"Amur honeysuckle",1,"2020-05-24"
"aniseroot",3,"2020-05-24"
"Annual Honesty",2,"2020-05-24"
"Appalachian barren-strawberry",1,"2020-05-24"
"apple",1,"2020-05-24"
"Arctic Butterbur",1,"2020-05-24"
"Asian Bleeding-heart",1,"2020-05-24"
"autumn olive",6,"2020-05-24"
"balsam fir",1,"2020-05-24"
"balsam poplar",2,"2020-05-24"
"basswood",4,"2020-05-24"
"beach wormwood",1,"2020-05-24"
"bearberry",1,"2020-05-24"
"Bearded iris",2,"2020-05-24"
"Bell's honeysuckle",2,"2020-05-24"
"Bird Cherry",1,"2020-05-24"
"bitter wintercress",8,"2020-05-24"
"black cherry",2,"2020-05-24"
"black chokeberry",1,"2020-05-24"
"black raspberry",3,"2020-05-24"
"bloodroot",3,"2020-05-24"
"blue cohosh",5,"2020-05-24"
"blue phlox",7,"2020-05-24"
"bluebead lily",2,"2020-05-24"
"bluebell",1,"2020-05-24"
"boxelder maple",5,"2020-05-24"
"broadleaf enchanter's nightshade",1,"2020-05-24"
"bulblet fern",1,"2020-05-24"
"bull thistle",1,"2020-05-24"
"Canada mayflower",5,"2020-05-24"
"Canada violet",2,"2020-05-24"
"Canadian serviceberry",2,"2020-05-24"
"Canadian wood betony",1,"2020-05-24"
"Canadian yew",1,"2020-05-24"
"Carolina spring-beauty",3,"2020-05-24"
"carpet bugle",4,"2020-05-24"
"catchweed bedstraw",3,"2020-05-24"
"Catnip",1,"2020-05-24"
"celandine poppy",3,"2020-05-24"
"Cherry-plum",1,"2020-05-24"
"Chinese wisteria",1,"2020-05-24"
"chokecherry",4,"2020-05-24"
"cinnamon fern",1,"2020-05-24"
"common blue violet",6,"2020-05-24"
"common bracken",6,"2020-05-24"
"common buckthorn",2,"2020-05-24"
"common chickweed",1,"2020-05-24"
"common cowparsnip",3,"2020-05-24"
"common dandelion",1,"2020-05-24"
"common duckweed",1,"2020-05-24"
"common jewelweed",1,"2020-05-24"
"common lilac",3,"2020-05-24"
"common milkweed",2,"2020-05-24"
"common motherwort",5,"2020-05-24"
"common mugwort",1,"2020-05-24"
"common pawpaw",2,"2020-05-24"
"Common Pear",1,"2020-05-24"
"common serviceberry",1,"2020-05-24"
"common soapwort",1,"2020-05-24"
"common St. John's-wort",1,"2020-05-24"
"common star-of-Bethlehem",11,"2020-05-24"
"common yarrow",3,"2020-05-24"
"common yucca",1,"2020-05-24"
"corn speedwell",3,"2020-05-24"
"cream violet",1,"2020-05-24"
"Creeping Bellflower",1,"2020-05-24"
"creeping Jenny",1,"2020-05-24"
"creeping thistle",3,"2020-05-24"
"curled dock",1,"2020-05-24"
"cursed crowfoot",1,"2020-05-24"
"cut-leaved toothwort",2,"2020-05-24"
"Cutleaf Anemone",2,"2020-05-24"
"cutleaf coneflower",1,"2020-05-24"
"cypress spurge",1,"2020-05-24"
"daisy fleabane",1,"2020-05-24"
"dame's rocket",20,"2020-05-24"
"dioecious sedge",1,"2020-05-24"
"Donkey Tail",1,"2020-05-24"
"downy rattlesnake plantain",1,"2020-05-24"
"downy yellow violet",5,"2020-05-24"
"Dutchman's breeches",3,"2020-05-24"
"dwarf ginseng",2,"2020-05-24"
"dwarf mallow",1,"2020-05-24"
"dwarf raspberry",3,"2020-05-24"
"eastern cottonwood",1,"2020-05-24"
"eastern redbud",4,"2020-05-24"
"eastern redcedar",1,"2020-05-24"
"eastern skunk cabbage",3,"2020-05-24"
"Eastern Teaberry",1,"2020-05-24"
"eastern white pine",1,"2020-05-24"
"eggleaf spurge",1,"2020-05-24"
"Elephant's-ears",1,"2020-05-24"
"European gooseberry",1,"2020-05-24"
"European lily of the valley",4,"2020-05-24"
"false Solomon's seal",5,"2020-05-24"
"field peppergrass",1,"2020-05-24"
"flowering dogwood",1,"2020-05-24"
"fringed polygala",5,"2020-05-24"
"garden pansy",1,"2020-05-24"
"garden sage",1,"2020-05-24"
"Garlic Chives",1,"2020-05-24"
"garlic mustard",6,"2020-05-24"
"Glaucous Honeysuckle",1,"2020-05-24"
"golden Alexander",2,"2020-05-24"
"golden ragwort",4,"2020-05-24"
"Goutweed",4,"2020-05-24"
"Grape hyacinth",1,"2020-05-24"
"great waterleaf",1,"2020-05-24"
"greater burdock",1,"2020-05-24"
"Greater celandine",4,"2020-05-24"
"green ash",1,"2020-05-24"
"ground-ivy",9,"2020-05-24"
"hairy buttercup",1,"2020-05-24"
"hairy puccoon",1,"2020-05-24"
"hairy Solomon's-seal",2,"2020-05-24"
"hairy sweet cicely",2,"2020-05-24"
"heartleaf foamflower",1,"2020-05-24"
"Heartleaf Twayblade",1,"2020-05-24"
"herb Robert",1,"2020-05-24"
"hoary alyssum",1,"2020-05-24"
"hoary willow",1,"2020-05-24"
"Hooked buttercup",1,"2020-05-24"
"interrupted clubmoss",1,"2020-05-24"
"Jack-in-the-pulpit",12,"2020-05-24"
"Japanese barberry",1,"2020-05-24"
"Japanese maple",1,"2020-05-24"
"Japanese pachysandra",2,"2020-05-24"
"Japanese snowball",1,"2020-05-24"
"Japanese spindle tree",1,"2020-05-24"
"jetbead",3,"2020-05-24"
"kidneyleaf white violet",1,"2020-05-24"
"kikuyu grass",1,"2020-05-24"
"Labrador violet",2,"2020-05-24"
"Lake Huron Tansy",1,"2020-05-24"
"lanceleaf figwort",1,"2020-05-24"
"land cress",1,"2020-05-24"
"large white trillium",12,"2020-05-24"
"large-leaved aster",1,"2020-05-24"
"largeflower bellwort",2,"2020-05-24"
"leatherleaf",1,"2020-05-24"
"lesser periwinkle",1,"2020-05-24"
"lesser tussock sedge",1,"2020-05-24"
"limestone oak fern",1,"2020-05-24"
"little bluestem",1,"2020-05-24"
"little bur-clover",1,"2020-05-24"
"long-stalked sedge",1,"2020-05-24"
"longbeak sedge",1,"2020-05-24"
"lowbush blueberry",2,"2020-05-24"
"lyre-leaved rock cress",3,"2020-05-24"
"mapleleaf viburnum",1,"2020-05-24"
"marginal wood fern",1,"2020-05-24"
"marsh blue violet",2,"2020-05-24"
"marsh marigold",4,"2020-05-24"
"mayapple",15,"2020-05-24"
"Mezereon",1,"2020-05-24"
"Morrow's honeysuckle",1,"2020-05-24"
"moss phlox",2,"2020-05-24"
"mountain fly-honeysuckle",2,"2020-05-24"
"multiflora rose",2,"2020-05-24"
"musk thistle",2,"2020-05-24"
"narrowleaf willow",1,"2020-05-24"
"nodding trillium",5,"2020-05-24"
"Norfolk Island Pine",1,"2020-05-24"
"northern holly fern",2,"2020-05-24"
"northern maidenhair fern",1,"2020-05-24"
"northern red oak",1,"2020-05-24"
"northern redcurrant",1,"2020-05-24"
"northern small yellow lady's slipper",1,"2020-05-24"
"northern whitecedar",3,"2020-05-24"
"Norway maple",1,"2020-05-24"
"Orange-fruited Horse Gentian",1,"2020-05-24"
"orchard grass",1,"2020-05-24"
"ostrich fern",2,"2020-05-24"
"oxeye daisy",2,"2020-05-24"
"paper birch",1,"2020-05-24"
"Parlin's Pussytoes",1,"2020-05-24"
"partridgeberry",4,"2020-05-24"
"Pennsylvania Everlasting",1,"2020-05-24"
"Philadelphia fleabane",2,"2020-05-24"
"pignut hickory",1,"2020-05-24"
"pink lady's slipper",11,"2020-05-24"
"Pitcher's thistle",1,"2020-05-24"
"poison ivy",5,"2020-05-24"
"prickly ash",1,"2020-05-24"
"prickly gooseberry",2,"2020-05-24"
"prickly sowthistle",1,"2020-05-24"
"purple oat",1,"2020-05-24"
"ragged-Robin",1,"2020-05-24"
"rapeseed",1,"2020-05-24"
"rattlesnake fern",4,"2020-05-24"
"red clover",1,"2020-05-24"
"red columbine",7,"2020-05-24"
"red deadnettle",2,"2020-05-24"
"red maple",1,"2020-05-24"
"red osier dogwood",1,"2020-05-24"
"red-berried elder",1,"2020-05-24"
"riverbank grape",1,"2020-05-24"
"Roadside Blue-eyed Grass",1,"2020-05-24"
"Rock Harlequin",2,"2020-05-24"
"rock polypody",1,"2020-05-24"
"rose twisted-stalk",2,"2020-05-24"
"rough cinquefoil",1,"2020-05-24"
"round-lobed hepatica",3,"2020-05-24"
"sand dune willow",1,"2020-05-24"
"Scarlet Beebalm",1,"2020-05-24"
"Scented Solomon's-seal",1,"2020-05-24"
"seaside pea",1,"2020-05-24"
"sensitive fern",3,"2020-05-24"
"sessile bellwort",1,"2020-05-24"
"shady horsetail",1,"2020-05-24"
"sheathed sedge",1,"2020-05-24"
"Sheep's sorrel",1,"2020-05-24"
"shepherd's-purse",1,"2020-05-24"
"shining clubmoss",2,"2020-05-24"
"showy lady's slipper",2,"2020-05-24"
"shrubby cinquefoil",1,"2020-05-24"
"Siberian elm",1,"2020-05-24"
"silver maple",2,"2020-05-24"
"slender yellow woodsorrel",3,"2020-05-24"
"small camas",1,"2020-05-24"
"Small Pussytoes",1,"2020-05-24"
"small white leek",2,"2020-05-24"
"small-flowered buttercup",2,"2020-05-24"
"Smooth Meadow-grass",1,"2020-05-24"
"smooth rockcress",1,"2020-05-24"
"smooth shadbush",2,"2020-05-24"
"southern arrowwood",1,"2020-05-24"
"Spanish Bluebell",1,"2020-05-24"
"spinulose wood fern",1,"2020-05-24"
"Spotted deadnettle",2,"2020-05-24"
"spotted lady's thumb",1,"2020-05-24"
"spotted wintergreen",1,"2020-05-24"
"stag's-horn clubmoss",1,"2020-05-24"
"star-flowered lily-of-the-valley",2,"2020-05-24"
"starflower",4,"2020-05-24"
"stickseed",5,"2020-05-24"
"stinging nettle",2,"2020-05-24"
"Stringy Stonecrop",1,"2020-05-24"
"sugar maple",2,"2020-05-24"
"sulphur cinquefoil",1,"2020-05-24"
"Summer snowflake",1,"2020-05-24"
"swamp birch",1,"2020-05-24"
"Sweet violet",3,"2020-05-24"
"Sweet Woodruff",2,"2020-05-24"
"tall blue lettuce",1,"2020-05-24"
"Tatarian honeysuckle",2,"2020-05-24"
"threeleaf goldthread",1,"2020-05-24"
"Thyme-leaved Sandwort",1,"2020-05-24"
"thyme-leaved speedwell",1,"2020-05-24"
"trembling aspen",1,"2020-05-24"
"Tufted Bulrush",1,"2020-05-24"
"tussock sedge",2,"2020-05-24"
"Two-leaved Toothwort",4,"2020-05-24"
"twoleaf miterwort",1,"2020-05-24"
"Upright Carrionflower",1,"2020-05-24"
"Virginia creeper",2,"2020-05-24"
"Virginia dwarfdandelion",1,"2020-05-24"
"Virginia strawberry",2,"2020-05-24"
"water forget-me-not",1,"2020-05-24"
"watercress",1,"2020-05-24"
"western wallflower",1,"2020-05-24"
"white campion",2,"2020-05-24"
"white clover",1,"2020-05-24"
"white mulberry",1,"2020-05-24"
"White-grained Mountain-ricegrass",1,"2020-05-24"
"wide leek",2,"2020-05-24"
"Wiegand's Shadbush",1,"2020-05-24"
"wild daffodil",1,"2020-05-24"
"wild geranium",21,"2020-05-24"
"Wild Mustard",1,"2020-05-24"
"wild parsnip",1,"2020-05-24"
"Wild Rosemary",2,"2020-05-24"
"wild sarsaparilla",2,"2020-05-24"
"Wild strawberry",2,"2020-05-24"
"winged euonymus",1,"2020-05-24"
"wood anemone",1,"2020-05-24"
"Wood Avens",1,"2020-05-24"
"Wood Forget-me-not",3,"2020-05-24"
"wood nettle",1,"2020-05-24"
"Wormwood",1,"2020-05-24"
